Fecha,Jornada,Local/Visitante,Resultado,GF,GC,Rival,Goles marcados,Disparos,Disparos a puerta,% DisparosPuerta,Goles/Disparo,Goles/DisparoPuerta,Distancia,xG,xG - nopenalty,G-xG,np:G-xG
14/08/2023,Semana 1 de partido,Local,V,1,0,Alavés,1,12,3,25.0,0.08,0.33,17.6,0.7,0.7,+0.3,+0.3
20/08/2023,Semana 2 de partido,Visitante,D,0,2,Barcelona,0,10,1,10.0,0.00,0.00,12.0,1.1,1.1,-1.1,-1.1
26/08/2023,Semana 3 de partido,Local,E,1,1,Almería,1,11,3,27.3,0.09,0.33,15.9,1.6,1.6,-0.6,-0.6
01/09/2023,Semana 4 de partido,Local,V,3,1,Villarreal,3,17,3,17.6,0.12,0.67,22.1,2.1,1.3,+0.9,+0.7
16/09/2023,Semana 5 de partido,Visitante,D,0,3,Athletic Club,0,5,4,80.0,0.00,0.00,21.8,0.3,0.3,-0.3,-0.3
24/09/2023,Semana 6 de partido,Visitante,E,1,1,Betis,1,5,1,20.0,0.20,1.00,16.2,0.2,0.2,+0.8,+0.8
27/09/2023,Semana 7 de partido,Local,E,0,0,Rayo Vallecano,0,9,2,22.2,0.00,0.00,18.0,0.6,0.6,-0.6,-0.6
01/10/2023,Semana 8 de partido,Visitante,D,2,3,Atlético Madrid,2,8,4,50.0,0.25,0.50,21.8,0.8,0.8,+1.2,+1.2
07/10/2023,Semana 9 de partido,Local,D,0,1,Girona,0,8,2,25.0,0.00,0.00,17.6,0.4,0.4,-0.4,-0.4
23/10/2023,Semana 10 de partido,Visitante,D,0,2,Valencia,0,5,4,80.0,0.00,0.00,9.9,0.6,0.6,-0.6,-0.6
28/10/2023,Semana 11 de partido,Local,E,2,2,Sevilla,2,10,5,50.0,0.20,0.40,18.3,1.1,1.1,+0.9,+0.9
06/11/2023,Semana 12 de partido,Visitante,D,0,1,Getafe,0,6,2,33.3,0.00,0.00,17.4,0.5,0.5,-0.5,-0.5
26/11/2023,Semana 14 de partido,Local,D,0,3,Real Madrid,0,13,4,30.8,0.00,0.00,20.0,1.2,1.2,-1.2,-1.2
29/11/2023,Semana 13 de partido,Visitante,E,1,1,Mallorca,1,6,3,50.0,0.17,0.33,31.9,0.3,0.3,+0.7,+0.7
04/12/2023,Semana 15 de partido,Visitante,E,1,1,Celta Vigo,1,2,1,50.0,0.50,1.00,17.7,0.3,0.3,+0.7,+0.7
10/12/2023,Semana 16 de partido,Local,E,1,1,Osasuna,1,12,5,41.7,0.08,0.20,17.2,0.9,0.9,+0.1,+0.1
17/12/2023,Semana 17 de partido,Visitante,E,1,1,Las Palmas,1,13,5,38.5,0.08,0.20,16.0,1.6,1.6,-0.6,-0.6
21/12/2023,Semana 18 de partido,Local,E,0,0,Real Sociedad,0,10,2,20.0,0.00,0.00,16.8,1.0,1.0,-1.0,-1.0
03/01/2024,Semana 19 de partido,Visitante,D,0,2,Granada,0,15,2,13.3,0.00,0.00,18.6,0.8,0.8,-0.8,-0.8
14/01/2024,Semana 20 de partido,Local,D,1,4,Valencia,1,9,1,11.1,0.00,0.00,21.9,1.1,0.4,-0.1,-0.4
19/01/2024,Semana 21 de partido,Visitante,D,0,1,Alavés,0,9,1,11.1,0.00,0.00,17.8,0.3,0.3,-0.3,-0.3
28/01/2024,Semana 22 de partido,Local,E,0,0,Athletic Club,0,9,2,22.2,0.00,0.00,23.6,0.4,0.4,-0.4,-0.4
04/02/2024,Semana 23 de partido,Visitante,E,0,0,Villarreal,0,8,2,25.0,0.00,0.00,14.3,0.7,0.7,-0.7,-0.7
09/02/2024,Semana 24 de partido,Local,D,0,2,Betis,0,14,5,35.7,0.00,0.00,17.8,0.8,0.8,-0.8,-0.8
17/02/2024,Semana 25 de partido,Visitante,D,0,2,Osasuna,0,5,1,20.0,0.00,0.00,15.9,0.5,0.5,-0.5,-0.5
25/02/2024,Semana 26 de partido,Local,E,2,2,Celta Vigo,2,19,6,31.6,0.11,0.33,18.2,2.2,2.2,-0.2,-0.2
02/03/2024,Semana 27 de partido,Visitante,E,1,1,Rayo Vallecano,1,16,5,31.3,0.06,0.20,16.7,1.0,1.0,0.0,0.0
09/03/2024,Semana 28 de partido,Local,V,2,0,Atlético Madrid,2,7,3,42.9,0.29,0.67,16.0,1.1,1.1,+0.9,+0.9
15/03/2024,Semana 29 de partido,Visitante,D,0,2,Real Sociedad,0,13,2,15.4,0.00,0.00,20.0,0.8,0.8,-0.8,-0.8
29/03/2024,Semana 30 de partido,Local,V,1,0,Granada,1,13,5,38.5,0.08,0.20,16.0,1.6,1.6,-0.6,-0.6
13/04/2024,Semana 31 de partido,Local,D,0,1,Barcelona,0,14,3,21.4,0.00,0.00,17.5,1.0,1.0,-1.0,-1.0
20/04/2024,Semana 32 de partido,Visitante,D,1,4,Girona,1,12,5,41.7,0.08,0.20,15.9,1.6,1.6,-0.6,-0.6
28/04/2024,Semana 33 de partido,Local,E,1,1,Mallorca,0,10,2,20.0,0.00,0.00,22.2,0.4,0.4,-0.4,-0.4
04/05/2024,Semana 34 de partido,Visitante,D,0,3,Real Madrid,0,7,2,28.6,0.00,0.00,14.5,0.9,0.9,-0.9,-0.9
12/05/2024,Semana 35 de partido,Local,V,1,0,Getafe,1,12,5,41.7,0.00,0.00,20.2,1.5,0.7,-0.5,-0.7
15/05/2024,Semana 36 de partido,Visitante,V,1,0,Sevilla,1,19,7,36.8,0.05,0.14,19.9,2.5,2.5,-1.5,-1.5
19/05/2024,Semana 37 de partido,Local,E,0,0,Las Palmas,0,10,3,30.0,0.00,0.00,16.3,0.9,0.9,-0.9,-0.9
25/05/2024,Semana 38 de partido,Visitante,D,1,6,Almería,1,12,4,33.3,0.08,0.25,23.0,0.5,0.5,+0.5,+0.5
,,,6-15-17,26,55,,25,395,120,30.4,0.06,0.18,18.4,36.0,33.6,-11.0,-11.6
