Nombre,País,Posicion,Edad,Goles,Disparos,Disparos a Puerta,% DisparosPuerta,Disparos cada 90min,DisparosPuerta cada 90min,Goles/Disparo,Goles/DisparoPuerta,Distancia,xG
Rubén Alcaraz,es ESP,CC,32,3,46,10,21.7,1.32,0.29,0.02,0.10,24.9,3.3
Jeremías Ledesma,ar ARG,PO,30,0,0,0,,0.00,0.00,,,,0.0
Chris Ramos,es ESP,"DL,CC",26,5,76,27,35.5,2.62,0.93,0.07,0.19,12.0,10.1
Fali,es ESP,DF,29,0,11,3,27.3,0.39,0.11,0.00,0.00,15.6,0.8
Isaac Carcelen,es ESP,DF,30,0,10,3,30.0,0.34,0.10,0.00,0.00,20.2,0.6
Javi Hernández,es ESP,DF,25,1,30,8,26.7,1.07,0.29,0.03,0.13,24.0,1.4
Roberto Navarro,es ESP,"CC,DL",21,1,30,9,30.0,1.43,0.43,0.03,0.11,19.1,2.1
Víctor Chust,es ESP,DF,23,0,4,0,0.0,0.19,0.00,0.00,,9.7,0.3
Iván Alejo,es ESP,CC,28,0,11,2,18.2,0.59,0.11,0.00,0.00,21.9,0.5
Gonzalo Escalante,ar ARG,CC,30,1,14,3,21.4,0.74,0.16,0.07,0.33,17.4,1.9
Rubén Sobrino,es ESP,"CC,DL",31,0,21,3,14.3,1.15,0.16,0.00,0.00,17.9,1.8
Roger Martí,es ESP,DL,32,2,33,12,36.4,2.19,0.79,0.06,0.17,17.8,2.8
Lucas,br BRA,DF,22,1,11,4,36.4,0.64,0.23,0.09,0.25,21.5,0.8
Álex Fernández,es ESP,CC,30,0,7,1,14.3,0.49,0.07,0.00,0.00,24.0,0.3
Maxi Gómez,uy URU,DL,26,0,16,6,37.5,1.24,0.46,0.00,0.00,14.3,1.6
Darwin Machís,ve VEN,CC,30,4,20,9,45.0,2.29,1.03,0.15,0.33,24.2,1.4
Juanmi,es ESP,DL,30,3,14,7,50.0,1.44,0.72,0.21,0.43,12.6,2.5
Rominigue Kouamé,ml MLI,CC,26,0,5,0,0.0,0.55,0.00,0.00,,22.3,0.3
Joseba Zaldúa,es ESP,DF,31,0,1,0,0.0,0.13,0.00,0.00,,34.5,0.0
Luis Hernández,es ESP,DF,34,1,1,1,100.0,0.12,0.12,1.00,1.00,2.2,1.0
Jorge Meré,es ESP,DF,26,0,4,1,25.0,0.53,0.13,0.00,0.00,18.2,0.2
Aiham Ousou,sy SYR,DF,23,0,2,0,0.0,0.42,0.00,0.00,,13.3,0.2
David Gil,es ESP,PO,29,0,0,0,,0.00,0.00,,,,0.0
Fede San Emeterio,es ESP,CC,26,1,1,1,100.0,0.59,0.59,1.00,1.00,5.0,0.1
Mamadou Mbaye,sn SEN,DF,25,0,2,1,50.0,0.62,0.31,0.00,0.00,7.9,0.3
Sergi Guardiola,es ESP,"DL,CC",32,1,14,5,35.7,2.55,0.91,0.07,0.20,16.9,1.8
Brian Ocampo,uy URU,"CC,DL",24,1,5,2,40.0,1.81,0.73,0.20,0.50,23.0,0.3
Diadie Samassékou,ml MLI,CC,27,0,1,1,100.0,0.98,0.98,0.00,0.00,25.6,0.0
Álvaro Negredo,es ESP,"DL,CC",37,0,3,1,33.3,5.00,1.67,0.00,0.00,29.1,0.1
Karl Etta,cm CMR,DL,19,0,0,0,,0.00,0.00,,,,0.0
José Mari,es ESP,"CC,DL",35,0,0,0,,0.00,0.00,,,,0.0
Milutin Osmaji?,me MNE,CC,24,0,2,0,0.0,36.00,0.00,0.00,,12.8,0.1
Borja Vázquez,es ESP,DL,18,0,0,0,,0.00,0.00,,,,0.0
Moussa Diakité,ml MLI,CC,19,0,0,0,,0.00,0.00,,,,0.0
