"Nombre","País","Posición","Edad","90s","Goles","Disparos","Disparos a puerta","% DisparosPuerta","Disparos cada 90min","DisparosPuerta cada 90min","Goles/Disparo","Goles/DisparoPuerta","Distancia","Tiros Libres","Penaltis","Penaltis Intentados","xG","xG - nopenalty","npxG/Disparo","G-xG","np:G-xG","Matches"
"Luis Hernández","es ESP","DF","33","35.0","0","7","1","14.3","0.20","0.03","0.00","0.00","12.2","0","0","0","0.3","0.3","0.04","-0.3","-0.3","Matches"
"Alfonso Espino","uy URU","DF","30","34.7","0","20","1","5.0","0.58","0.03","0.00","0.00","28.9","0","0","0","1.5","1.5","0.08","-1.5","-1.5","Matches"
"Jeremías Ledesma","ar ARG","GK","29","34.0","0","1","0","0.0","0.03","0.00","0.00","","11.2","0","0","0","0.0","0.0","0.05","0.0","0.0","Matches"
"Rubén Sobrino","es ESP","MF,FW","30","27.4","3","33","12","36.4","1.20","0.44","0.09","0.25","13.6","0","0","0","4.9","4.9","0.15","-1.9","-1.9","Matches"
"Isaac Carcelen","es ESP","DF","29","24.4","0","7","1","14.3","0.29","0.04","0.00","0.00","27.9","3","0","0","0.2","0.2","0.03","-0.2","-0.2","Matches"
"Theo Bongonda","cd COD","MF,FW","26","21.5","4","42","14","33.3","1.95","0.65","0.07","0.21","21.1","2","1","1","5.2","4.4","0.10","-1.2","-1.4","Matches"
"Fede San Emeterio","es ESP","MF","25","20.5","0","6","1","16.7","0.29","0.05","0.00","0.00","18.3","0","0","0","0.3","0.3","0.05","-0.3","-0.3","Matches"
"Rubén Alcaraz","es ESP","MF","31","22.7","3","31","4","12.9","1.37","0.18","0.03","0.25","23.5","3","2","3","4.0","1.6","0.05","-1.0","-0.6","Matches"
"Fali","es ESP","DF,MF","28","19.0","0","9","0","0.0","0.47","0.00","0.00","","16.6","0","0","0","0.6","0.6","0.07","-0.6","-0.6","Matches"
"Álex Fernández","es ESP","MF,FW","29","17.5","3","16","8","50.0","0.91","0.46","0.13","0.25","12.9","0","1","1","2.7","1.9","0.12","+0.3","+0.1","Matches"
"Brian Ocampo","uy URU","MF,FW","23","12.4","1","13","2","15.4","1.05","0.16","0.08","0.50","21.3","0","0","0","0.5","0.5","0.04","+0.5","+0.5","Matches"
"Anthony Lozano","hn HON","FW","29","16.0","1","30","8","26.7","1.87","0.50","0.03","0.13","16.7","0","0","0","2.6","2.6","0.09","-1.6","-1.6","Matches"
"Sergi Guardiola","es ESP","FW","31","12.9","3","27","13","48.1","2.09","1.00","0.11","0.23","15.5","0","0","0","3.4","3.4","0.12","-0.4","-0.4","Matches"
"Iván Alejo","es ESP","MF,FW","27","14.6","0","23","6","26.1","1.58","0.41","0.00","0.00","21.3","0","0","0","1.2","1.2","0.05","-1.2","-1.2","Matches"
"Gonzalo Escalante","ar ARG","MF","29","12.5","4","14","6","42.9","1.12","0.48","0.29","0.67","12.5","0","0","0","3.5","3.5","0.25","+0.5","+0.5","Matches"
"Víctor Chust","es ESP","DF","22","10.7","1","2","2","100.0","0.19","0.19","0.50","0.50","7.0","0","0","0","0.9","0.9","0.47","+0.1","+0.1","Matches"
"Álvaro Negredo","es ESP","FW","36","8.4","1","22","7","31.8","2.62","0.83","0.05","0.14","16.8","0","0","0","1.8","1.8","0.08","-0.8","-0.8","Matches"
"Roger Martí","es ESP","FW","31","7.1","1","15","3","20.0","2.11","0.42","0.07","0.33","14.9","0","0","0","2.5","2.5","0.16","-1.5","-1.5","Matches"
"Mamadou Mbaye","sn SEN","DF","24","8.4","0","1","0","0.0","0.12","0.00","0.00","","6.5","0","0","0","0.1","0.1","0.10","-0.1","-0.1","Matches"
"Chris Ramos","es ESP","FW","25","7.9","1","31","6","19.4","3.93","0.76","0.03","0.17","13.3","0","0","0","3.0","3.0","0.10","-2.0","-2.0","Matches"
"Joseba Zaldúa","es ESP","DF","30","7.1","0","1","0","0.0","0.14","0.00","0.00","","32.7","0","0","0","0.0","0.0","0.01","0.0","0.0","Matches"
"Jorge Meré","es ESP","DF","25","6.7","0","4","1","25.0","0.60","0.15","0.00","0.00","14.6","0","0","0","0.2","0.2","0.05","-0.2","-0.2","Matches"
"Lucas Pérez","es ESP","FW","33","7.0","3","17","6","35.3","2.44","0.86","0.18","0.50","18.8","4","0","0","2.0","2.0","0.12","+1.0","+1.0","Matches"
"Santiago Arzamendia","py PAR","DF,MF","24","5.4","0","4","2","50.0","0.75","0.37","0.00","0.00","20.6","0","0","0","0.2","0.2","0.05","-0.2","-0.2","Matches"
"David Gil","es ESP","GK","28","4.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"Raúl Parra","es ESP","DF","22","3.4","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"José Mari","es ESP","MF","34","4.4","0","5","2","40.0","1.13","0.45","0.00","0.00","24.1","0","0","0","0.1","0.1","0.02","-0.1","-0.1","Matches"
"Tomás Alarcón","cl CHI","MF","23","2.5","0","2","1","50.0","0.81","0.40","0.00","0.00","36.4","0","0","0","0.0","0.0","0.01","0.0","0.0","Matches"
"Antonio Blanco","es ESP","MF","22","1.8","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"Awer Mabil","au AUS","MF,FW","26","1.8","0","3","1","33.3","1.64","0.55","0.00","0.00","17.3","0","0","0","0.2","0.2","0.05","-0.2","-0.2","Matches"
"Cala","es ESP","DF","32","1.5","0","1","0","0.0","0.66","0.00","0.00","","13.2","0","0","0","0.0","0.0","0.05","0.0","0.0","Matches"
"Youba Diarra","ml MLI","MF","24","1.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"Mamady Diarra","ml MLI","MF,DF","22","0.7","0","3","0","0.0","4.09","0.00","0.00","","16.5","0","0","0","0.1","0.1","0.05","-0.1","-0.1","Matches"
"Alberto Perea","es ESP","MF","31","0.5","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"José Antonio","es ESP","MF,DF","18","0.5","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"Carlos García","es ESP","DF","22","0.3","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"Francisco Mwepu","zm ZAM","FW","22","0.2","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"Álvaro Giménez","es ESP","FW","31","0.2","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"Squad Total","","","29.1","38.0","29","390","108","27.7","10.26","2.84","0.06","0.23","18.2","12","4","5","41.5","37.7","0.10","-12.5","-12.7",""
"Opponent Total","","","27.2","38.0","53","541","192","35.5","14.24","5.05","0.08","0.23","17.5","24","9","10","61.6","53.8","0.10","-8.6","-9.8",""
